category,query,n_results,n_articles_processed,n_new_articles,genes_found
Mechanotransduction signaling,"""force transduction"" AND channel AND neuron",1,1,1,"KCNK2,KCNK4,PIEZO1,TRAAK,TREK1"
Mechanotransduction signaling,mechanotransduction AND (channel OR receptor) AND (glia OR neuromodulation),200,199,140,"AAV9,ACR,ADORA,ADORA2B,AFM,AKAP13,AKT,ALM,AMPD3,AP5,APB,APJ,AQP1,ARC,ARPE,ASIC,ASIC2,ASIC3,AT1R,AVA"
Two-pore potassium channels (K2P),"""two-pore domain"" potassium AND (brain OR neuron)",200,199,189,"AAA,AEG,AHP,AIS,ANSD,AQP4,ARVC5,ASIC1A,ASIC1B,ASIC2B,ASIC3,ASK1,AVB,BAC,BDNF,BEST,BEST1,BLAST,CA1,CA3"
Two-pore potassium channels (K2P),"""two-pore"" potassium channel AND nervous system",200,199,65,"AEG,AHP,APB,AQP4,ASC,ASIC1A,ASIC1B,ASIC2B,ASIC3,ATI,BAC,BDNF,BEST,BEST1,CA1,CA3,CCK,CD4,CDC,CFA"
Two-pore potassium channels (K2P),"""leak potassium channel"" AND (brain OR neuron)",15,15,9,"AEA,AIS,CA1,CINV,CO2,CSD,KCC2,KCNK18,KCNK2,KCNK3,KCNK4,KCNK9,MNTB,PUFA,REM,RGC,SWS,TASK,TASK1,TASK3"
Two-pore potassium channels (K2P),"""background potassium channel"" AND (brain OR neural)",6,6,5,"CL1,CR1,CX3,DRG,GYG,HTTLPR,ICH,KCNK18,KCNK2,KCNK4,ML67,OAG,PKC,PLC,SBI,SSRI,TASK,TRAAK,TREK,TREK1"
Two-pore potassium channels (K2P),"""tandem pore"" potassium AND brain",200,200,113,"AAA,ACSF,ACTH,AEA,AHP,ALA,AMPK,APC,ASD,ATI,AUDIT,AVB,AVP,BAC,BALB,BAS,BDNF,BEST1,BFP,BMI"
Two-pore potassium channels (K2P),(TREK OR TRAAK) AND channel AND (brain OR neuron),200,198,57,"AC9,ACTH,ADME,AEG,AHP,AIS,ALA,ANO2,AQP4,AVB,AVP,BALB,BDNF,BFP,BLAST,CA1,CA3,CBF,CCI,CCK8"
Two-pore potassium channels (K2P),TASK channel AND (brain OR neuron OR pH),200,200,200,"ACC,ACML,ADHD,ALS,ANC,ANR,ASD,ASFT,ASPP,AST,BA10,BA9,BCG,BCI,BCIAUT,BCIC,BIDS,BMI,BOR,BPD"
Two-pore potassium channels (K2P),"""acid-sensitive"" potassium AND brain",88,88,57,"ACSF,AEA,AMPK,ASIC1A,ASIC2A,BAPTA,BAS,BFC,CA1,CA3,CCD,CFTR,CHO,CIH,CO2,COS,DAG,DEA,DIC,DIDS"
Two-pore potassium channels (K2P),"""two-pore"" AND mechanosensitive",72,72,41,"ALI,ARDS,CA1,CBD,COS,DRG,ENDO,EPI,FUSH,GORK,GPCR,HEK,IBA,IOP,IP3,IP3R,ISI,KCNK,KCNK10,KCNK2"
Two-pore potassium channels (K2P),K2P channel AND (brain OR mechanosensitive),194,194,61,"ADME,AHP,ALI,ANSD,APC,AQP4,ARDS,ARVC5,ASC,ASIC,ATI,AVB,BAC,BDNF,CA1,CA3,CBD,CDL,CFTR,CGN"
Two-pore potassium channels (K2P),(TREK OR TRAAK OR TASK) AND channel AND (glia OR astrocyte),106,105,49,"ADAM,ADHD,AEG,AIS,AKT,ALA,ANSD,APDC,APP,AQP4,ARVC5,BDNF,BEST1,BINA,BNST,CA1,CA3,CHO,CL1,CLIC1"
Inward rectifier potassium channels,"""inward rectifier"" potassium AND brain",200,199,194,"ABC,ABCC8,ACC,ACM,ACPD,ACV,AFDX,AHS,ALS,AMD,ANF,ANT,AP5,APD,APP,APP23,AQP,AQP4,ATS,AZA"
Inward rectifier potassium channels,"""inwardly rectifying"" AND channel AND (glia OR astrocyte)",200,200,177,"AAV2,AAV9,ACT,AEP,AGE,AGT,AHAVD,AKT,ALF,ALS,ALT,ANA,ANLS,ANN,AP5,APOE4,APP,APQ1,AQP,AQP1"
Inward rectifier potassium channels,"""inward rectifier"" AND (neuron OR neural)",200,199,91,"ABLK,ACC,ACV,AFSC,AMPK,AP5,APP,AQP4,ATP5B,AZIN,AZIN2,BAL,BB2,BCL2,BDNF,BEC,BRVO,BV2,CA1,CA2"
Inward rectifier potassium channels,Kir channel AND (brain OR glia),200,200,117,"ABC,ABCCC8,ACC,AED,AEP,AHP,ALF,ALS,ALT,AP5,APP,AQP,AQP4,AQUEOUS,ASD,AST,AVP,BAC,BB1,BB2"
Inward rectifier potassium channels,"""potassium spatial buffering"" AND brain",9,8,9,"DGC,GLAST,KCNJ10,KCNJ2,KIR2.1,KIR4.1,PDZ,SNV"
Inward rectifier potassium channels,"""glial potassium"" AND channel",18,18,15,"CA1,CAP,CFC,CST,DHK,GABAB,GLT,GMP,IBMX,KCNJ10,KCNJ2,KIR2.1,KIR4,KIR4.1,KIR5,NKCC1,NSC34,PVR,SED,SGC"
Inward rectifier potassium channels,"astrocyte AND ""potassium channel"" AND brain",200,200,124,"AAV2,ABT,ACM,ADT,AKT,ALA,ALF,ALS,ALT,APDC,APP,AQP,AQP4,ASD,AST,BAL,BAPTA,BCL2,BDNF,BEST1"
Voltage-gated calcium channels,"""T-type calcium"" AND mechanosensitive",8,8,8,"BAPTA,CACNA1G,CACNA1H,CACNA1I,CAV3,CAV3.1,CAV3.2,CAV3.3,DRG,HEK,LVA,PI3K,TNT"
Voltage-gated calcium channels,"""T-type calcium"" AND (brain OR neuron)",200,197,199,"ABR,ABT,ACT,AGS,AHL,AIS,AITC,AKT,AMB,AMTB,APT,ARH,ASD,AUD,AWS,BAPTA,BDNF,BGMT,CA1,CA3"
Voltage-gated calcium channels,"""voltage-gated calcium"" AND mechanical AND brain",46,46,40,"ABHCA,AID,AME,AVP,BSA,BXD,CA3,CACNA1A,CACNA1C,CACNA1G,CACNA1H,CACNA1I,CAV1,CAV1.2,CAV2,CAV2.2,CAV2.3,CAV3,CAV3.1,CAV3.2"
Voltage-gated calcium channels,"""low-threshold calcium"" AND (neuron OR thalamus)",200,200,197,"ACPD,AHP,AHPS,ALG,AP5,APB,APV,ARC,BDNF,BNST,CA1,CA3,CACNA1G,CACNA1H,CACNA1I,CAN,CAV1,CAV2,CAV2.1,CAV3"
Voltage-gated calcium channels,"""low-voltage activated"" calcium AND brain",200,197,177,"ABC,ABR,ABT,ACT,AGS,AIDS,AKDVF,AKT,AMPAR,ARH,BAC,BAM8,BAPTA,BAY,CA1,CA3,CACHD1,CACNA1A,CACNA1C,CACNA1G"
Voltage-gated calcium channels,Cav3 AND (brain OR neuron OR thalamus),200,200,96,"ABT,ACAN,ACT,AGS,AHL,AIS,AITC,AKT,AMB,AMTB,ANO1,ANP,APC,APT,ARH,ASD,AVP,BAM8,BDNF,BNP"
Voltage-gated calcium channels,"""T-type"" AND ""calcium channel"" AND neural",102,102,77,"ACSF,AKDVF,AKT,AP5,APB,APD,APD50,ASD,BAPTA,BAY,BCTC,BDNF,CA1,CA3,CACNA1C,CACNA1E,CACNA1G,CACNA1H,CACNA1I,CAE"
Voltage-gated calcium channels,"""T-type calcium"" AND (glia OR astrocyte)",22,22,11,"AKT,BDNF,CA2,CACNA1G,CACNA1H,CACNA1I,CAV2,CAV2.2,CAV3,CAV3.1,CAV3.2,CAV3.3,CCI,CCL2,CRISPR,CRMP2,DRG,EGTA,FOXP2,GAT"
Voltage-gated sodium channels,"""voltage-gated sodium"" AND mechanosensitive",57,57,44,"ADS,AIS,ATF3,BCECF,BPS,CACNA1H,CAP,CAV2,CAV2.2,CAV3,CAV3.2,CII,CLS,CPP,CVH,DIVS6,DOPC,DPA,DPPC,DRG"
Voltage-gated sodium channels,"""voltage-gated sodium"" AND mechanical AND neuron",200,199,182,"ACC,AFM,ALDH2,ALK2,ANK,ANP,ASIC3,ATF3,BDNF,BLA,BMAL1,BMSC,BVA,CACNA1H,CAD,CAM,CAV2,CAV2.2,CAV3,CAV3.2"
Voltage-gated sodium channels,"""voltage-gated sodium"" AND (brain OR cortex) AND channel",200,200,187,"ADMET,AIS,AKT,ANCOVA,ANN,APC,APP,ARB,ASD,ASM,AT1R,ATXII,BALB,BAPTA,BDNF,BETMB,BMP,BTBR,BTRE,CA1"
Voltage-gated sodium channels,Nav channel AND (brain OR neuron),200,200,154,"AAV6,ADME,ADMET,AII,AIS,AKT,ALS,AMPAR,ANK,ANP,AOP,APP,AQP4,ASD,ASM,BDNF,BETMB,BMSC,CA1,CADD"
Voltage-gated sodium channels,"""sodium channel"" AND ""action potential"" AND mechanosensitive",13,13,3,"CACNA1H,CAP,CAV3,CAV3.2,CII,DIVS6,DRG,FM1,HFS,LTMR,LVA,NAV1.5,NAV1.7,NAV1.8,NAV1.9,SCN11A,SCN5A,SKF,SNF,TTX"
Voltage-gated sodium channels,"""neuronal sodium channel"" AND brain",40,40,39,"ADC,AED,AERRPS,AESD,ASD,ASIC1A,BDNF,BFNIS,BTX,CA1,DDT,DEE,DIVS6,DWI,EAA,EGF,EIEE,EIMFS,FGF12,FHF1"
Voltage-gated sodium channels,"""voltage-gated sodium"" AND (glia OR neuromodulation)",200,199,163,"ABC,ABHD6,ACHE,ADHD,ADME,AEA,AIDP,AIS,ALS,AMPAR,ANK3,ANN,ANNA,APP,ASD,ASM,ASO,ATF3,ATRA,ATX"
Acid-sensing ion channels,"""acid-sensing ion channel"" AND (brain OR neuron)",200,200,192,"ABC,ABP,ACC,AIS,AISC,AISC3,AKI,ALA,AMPAR,ANTXR2,ASC06,ASD,ASIC,ASIC1,ASIC1A,ASIC1B,ASIC2,ASIC2A,ASIC2B,ASIC3"
Acid-sensing ion channels,ASIC AND mechanosensitive AND neural,4,4,1,"ASIC,ASIC2,ASIC3,ECM,FAST,NT3,PDMS,SA1,TRP,TRPA1,TRPV4"
Acid-sensing ion channels,ASIC AND (brain OR neuron OR pain),200,200,144,"ADC,AIC,AIFC,AISC,AISC3,ALA,ALF,AMT,APC,AQP,ASD,ASIC,ASIC1,ASIC1A,ASIC1B,ASIC2,ASIC2A,ASIC2B,ASIC3,ASIC4"
Acid-sensing ion channels,"""proton-gated"" AND channel AND (brain OR neuron)",182,182,150,"ACA,ACCN1,ACCN2,AKT,AP2,ASA,ASIC,ASIC1,ASIC1A,ASIC1B,ASIC2,ASIC2A,ASIC2B,ASIC3,ASIC4,ASICS,ATF3,AVP,BALB,BEAS"
Acid-sensing ion channels,"""acid-sensing"" AND mechanotransduction",74,73,53,"ASIC,ASIC1,ASIC1A,ASIC1B,ASIC2,ASIC2A,ASIC2B,ASIC3,ASIC4,BDNF,BNC,BNC1,BPS,BRS,CA3,CGRP,CWP,CXCL9,DCX,DED"
Acid-sensing ion channels,ASIC AND (glia OR astrocyte) AND channel,24,24,15,"ACD,AIP,ASIC,ASIC1,ASIC1A,ASIC1B,ASIC2,ASIC2A,ASIC3,ASIC4,ATF3,CAG,CCAAT,CCI,CHO,CP2,CPSP,DAPI,DRG,ERK"
TRP channels,"""transient receptor potential"" AND mechanosensitive AND brain",46,46,23,"AOH,AQP4,ASIC1,ASIC2,ASIC3,BCECF,BDNF,BL6,CREB,CREB1,DBS,DIDS,DRG,ECF,ENDO,EPI,EUS,FM1,FOS,GBM"
TRP channels,TRP channel AND mechanical AND neuron,200,197,173,"AITC,AMG,AMTB,ANKTM1,AP18,AP5,APB,APS,ASH,ASIC,ASIC1A,ASIC2,ASIC3,ASIC4,BIM,BL6,BMDM,BRET,CACNA1H,CAP"
TRP channels,"""transient receptor potential"" AND (brain OR neuron) AND channel",200,200,168,"ABP,ADCY5,AIM2,AITC,AKT,ALP,AMPAR,AMTB,AQP4,ARNA,ART,ASD,ASIC,ASIC1,ASIC2,ASIC3,AUD,BAM8,BAT,BCP"
TRP channels,TRPV AND mechanosensitive,200,200,153,"ACE,ACT,ADAM15,AEA,AKI,AKT,ALCT,AMPK,APB,AQP5,ARDS,ARNA,ARTER,ASIC2,AVC,AVS,BAL,BALF,BL6,BLASTP"
TRP channels,TRPV AND (brain OR neuron OR sensory),200,200,106,"ACEA,AEA,AIS,AITC,AKT,ALK,ALKAL2,ALP,AMI,APB,AQP4,ARNA,ART,ASH,ASIC,AWR,BALB,BAM8,BCP,BDNF"
TRP channels,polycystin AND (mechanosensitive OR channel OR cilia),200,200,192,"AAV9,ABE9,ACAT,ACC,ACMG,ADMET,ADPKD,AGO2,ALAS1,ALG5,ALG8,ALG9,ANKMY2,ANKR,ANKRD26,AQP11,AQP2,ARF,ARL13B,ARPKD"
TRP channels,PKD AND channel AND (brain OR neuron OR cilia),193,193,176,"AC5,ACKD,ADNFLE,ADPDK,ADPKD,ADPLD,AKAP,AKAP79,ANKS6,ANN,ANO1,APP,ARL13B,ARMS,ARPKD,ASIC,ASIC1A,BALB,BAR,BBS3"
TRP channels,"""primary cilium"" AND mechanosensitive AND channel",23,23,21,"ADPKD,CBE,CTS,ECM,EGTA,GJA1,GRGDSP,HNPCE,IOP,KCNK2,PC1,PC2,PKD1,PKD2,SAC,TREK,TRP,TRPML,TRPML1,TRPML3"
TRP channels,TRP channel AND (glia OR astrocyte OR neuromodulation),200,200,170,"ABAT,ACE2,ADAM10,ADME,ADRA2A,AED,AITC,AIVP,AKI,AKT,AKT1,ALOX5,ALS,AM2,AMPH,AMTB,APB,ARC,ASH,ASIC"
Integrin mechanotransduction,integrin AND mechanotransduction AND (brain OR neuron),108,108,93,"ABC,AFM,AGE,ALT,AMR,ANO1,ANOH,APP,AVB,BAPTA,BCBM,BMP,CAF,CAMKII,CAR,CCN2,CD44,CD47,CD90,CIB"
Integrin mechanotransduction,"integrin AND ""cell adhesion"" AND brain",200,200,195,"ABC,ACAM,ACSF,ADGRC3,ADGRE5,ADGRG1,ADGRG6,ADHD,AG73,AG82,AGS,AKT,ALL,AMI,AML,AMPAR,ANXA,ANXA2,APP,AQP4"
Integrin mechanotransduction,"""focal adhesion"" AND mechanosensitive AND neural",4,4,2,"ERK,FAK,MEK,PDZ,PIEZO1,PNI,PNR,ROCK,TAZ,TFS,TNS,YAP"
Integrin mechanotransduction,integrin AND (neuron OR glia OR brain) AND signaling,200,200,167,"ADGRG2,ADHD,ADM,AHN,AHNAK,AHR,AKT,AKT3,ALCAM,ALFF,ALL,ALS,AMPK,ANG1,ANGPT2,ANGPTL4,ANO1,ANOH,AOAH,AOD"
Integrin mechanotransduction,"""integrin alpha"" AND (brain OR neuron)",200,199,179,"ABC,ACAP1,ACC,ACTB,ADAM12,ADAMTS2,ADCY9,AIDS,AIS,AKAP7,ALA,ALC,ALF,ALS,AML12,ANKA,APP,ARF,ARF6,ASCL1"
Integrin mechanotransduction,"""integrin beta"" AND (brain OR neuron)",200,200,175,"ADAS,ADHD,AGS,AHRR,AKAP12,AKT,ALK1,ALS,AMPAR,AMPK,ANG1,AP1,ARPE,ASD,ATF,ATF2,ATF6,AZA,BCNU,BDNF"
Integrin mechanotransduction,"""extracellular matrix"" AND mechanotransduction AND (brain OR neural)",113,113,77,"ABC,ADCY8,AFM,AGE,AKT,ALT,ANP,ASIC,ATAC,BMP4,BNP,CAF,CAMKII,CCM,CCM1,CCM2,CD34,CD44,CDH23,CELL"
Integrin mechanotransduction,"integrin AND ""mechanical force"" AND (neuron OR brain)",18,18,7,"CPC,CPI,DOK1,ECM,EFS,FAK,IKVAV,ITGA3,ITGA8,ITGB1,KNEED,MYPT1,PHSRN,PI3,PIEZO1,RGD,VIDEO,YAP,YIGSR"
Integrin mechanotransduction,integrin AND (glia OR astrocyte) AND mechanotransduction,10,10,2,"CD90,ECM,ERK,HPS,MEK,MPS,NPS,NSPC,PECAM,SPION,TGF,VEGFR2"
Gap junction mechanosensitivity,"(connexin OR ""gap junction"") AND mechanosensitive",98,98,82,"ABC,ADAM15,ADAMTS,ADPKD,AKT,ALK1,AQP2,AVM,BAR,BMP9,CA1,CBF,CD44,CDH2,CEF,CFD,CFTR,CHN,CNG,COS"
Gap junction mechanosensitivity,connexin AND mechanical AND brain,50,50,46,"ABR,AFM,ASC,ASIC3,BDNF,CA1,CBX,CCI,CD8,CIPN,CNQX,CO2,CX26,CX30,CX43,CXCL1,CXCR2,DPOAE,ECM,EPC"
Gap junction mechanosensitivity,"""gap junction"" AND (brain OR glia OR astrocyte)",200,198,191,"AAD,ACSS1B,ACTN1,AFM,AGM,AKH,AKT1,ALBSF,ALPS,ALT,AMC,AMPK,ANSD,APG,APV,AQP4,ARNT,AST,ATF,AWARE"
Gap junction mechanosensitivity,connexin AND (astrocyte OR glia) AND brain,200,199,148,"ACKR3,ACM,ACPD,ADSHE,AFM,AGRP,AKT,ALCAM,AMPK,ANSD,APG,APOE,APP,APV,AQP,AQP4,ARL,ARVC5,ASC,ASM"
Gap junction mechanosensitivity,hemichannel AND (brain OR glia),200,198,138,"ACE,ACE2,ACM,ACPD,ADSHE,AED,AFM,AGRP,AKT,ALI,ALS,AMPK,APOE,APP,AQP4,ARC,ARL,BAIBA,BAPTA,BBG"
Gap junction mechanosensitivity,pannexin AND (brain OR neuron),200,199,142,"ABR,ACC,ACE,ACE2,ACPD,ADSHE,AEA,AFD,AIM2,AKI,AMPK,AP5,APP,ART,ASC,AUD,BAIBA,BAY,BBB13,BBG"
Gap junction mechanosensitivity,"""connexin 30"" OR ""connexin 43"" AND brain",200,200,42,"ABMSC,ABMSCT,ACC,ACKR3,ACM,ACPD,ADSHE,AFM,AGRP,AKT,ALS,ALT,AMPAR,AMPK,APG,APOE,APP,AQP,AQP4,ARL"
Lipid-mediated mechanotransduction,phospholipase AND mechanosensor,17,17,14,"AII,AKT,CXCL5,DMPC,DNMT1,DOPC,ERK,GFR,HEK,LCS,MLO,PKA,PLA2,PLC,PLD,PLD2,PPDPC,PTH,PTH1R,RBF"
Lipid-mediated mechanotransduction,phospholipase D AND (brain OR neuron),200,200,195,"AAO,ABHD12,ABHD6,ADAM10,ADNI,ADRD,AEA,AKT,ALS,AMPAR,APB,APOE,APOE3,APOE4,APP,ARAS,ARC,ARF6,ATG9,AUD"
Lipid-mediated mechanotransduction,"""membrane tension"" AND signaling AND (brain OR neuron)",63,63,50,"AKT,APP,BAPTA,CA1,CAV1,COVID,DRG,EGF,EGFR,GBM,GOF,HEK,HT22,ILT,KCNB2,KCNK10,KCNK2,KCNK4,MET,MLCK"
Lipid-mediated mechanotransduction,"""lipid raft"" AND mechanotransduction",13,13,13,"ANXA2,CAV1,ECM,ERK,ERK1,FSS,IXS,MEC,MLR,NPHS2,OSS,PHB,PI3K,PIEZO1,TRAIL,TRPC6,TRPM7"
Lipid-mediated mechanotransduction,"""membrane curvature"" AND signaling AND (brain OR neuron)",43,43,40,"BAR,BIN,BIN1,CIP,CLIP,COPII,COS,CRISPR,CSK,DOC2,DPPC,ERGIC,FBP17,FTIR,GAP,GLK,GST,LPAAT,LRRK2,MIM"
Lipid-mediated mechanotransduction,"""phospholipase D"" AND membrane AND (brain OR neural)",200,200,171,"AAO,ACPD,ADAM10,AEA,AIDA,ALD,AMT,APB,APH,APOE,APP,ARF,ARF1,ARF3,ARF5,ARF6,ARFRP1,ARL,ARL1,ATG"
Lipid-mediated mechanotransduction,"""lipid signaling"" AND mechanosensitive",0,0,,
Lipid-mediated mechanotransduction,caveolin AND (brain OR neuron OR glia),200,200,194,"AAV2,AAV9,ABC,ABCA1,ACC,ACE2,ADAM10,ADNP,AGNHW,AHN,AIS,AKT,AKT1,ALK1,ALK5,ALS,AMPK,ANG,ANP,AOC"
Lipid-mediated mechanotransduction,caveolae AND (mechanosensitive OR mechanotransduction),137,137,128,"AKT2,AMPK,ARHGAP29,ATG5,ATI,ATII,BAEC,BAR,CAV,CAV1,CAV2,CAV3,CAVIN1,CAVIN2,CAVIN3,CAVIN4,CCD,CD34,CD44,CD82"
Lipid-mediated mechanotransduction,"""lipid raft"" AND (brain OR neuron OR glia) AND channel",98,98,91,"ACTION,ADAM,ADAM11,ADAM22,ADAM23,AEA,AIBP,AITC,ALS,APB,APP,AQP4,ASIC2,ASIC3,AVP,AXONS,BACE1,BASP1,BDL,BDNF"
Lipid-mediated mechanotransduction,"caveolin AND ""ion channel""",85,85,77,"AAC,AC6,AEA,AIRE,AKAP9,AMI,ANK2,ANK3,CACNA1C,CACNA1G,CACNA1H,CAD,CARC,CAV1,CAV1.2,CAV1.3,CAV2,CAV2.2,CAV3,CAV3.1"
Lipid-mediated mechanotransduction,"""membrane tension"" AND signaling AND (glia OR neuromodulation)",13,13,2,"CA1,CAV3,DAG,ECT,EGF,HPLC,KCNK4,KEY,LRRC8A,MDCK,MLCK,NMDAR,NPC,NRK,PIP,PIP2,PLC,POINTS,PSD,RVD"
Chloride and anion channels,"""chloride channel"" AND mechanosensitive AND brain",2,2,0,"ANO1,ANOH,CIB,DIDS,TMEM16A,TRP,TRPC,TRPC1,UTP"
Chloride and anion channels,"(bestrophin OR ""volume-regulated"") AND channel AND brain",161,161,150,"AAG,ABC,ABCG1,AGQS,AIS,AKT,ANO1,ANO10,APP,AQP4,ASCT2,ATF3,BAPTA,BEST,BEST1,BMD,CA1,CA3,CAAC,CAD"
Chloride and anion channels,"""calcium-activated chloride"" AND (brain OR neuron)",183,183,174,"ADM,ADMET,AHP,AIA,AKT,ALS,ANO,ANO1,ANO10,ANO2,ANO4,ANO5,ANO6,ANO9,ANOH,ATF3,AVCN,BAPTA,BEST1,BMD"
Chloride and anion channels,"""volume-regulated anion"" AND (brain OR glia)",123,123,15,"ABC,ABCG1,AED,AGQS,AKT,AOA,AQP4,ASCT2,BAPTA,BEST1,CA1,CAD,CALHM,CALHM1,CBX,CDK,CFTR,CIC,CLHM,CNQX"
Chloride and anion channels,VRAC AND (brain OR astrocyte),92,92,12,"ABC,ABCG1,AGQS,AIS,AKT,AOA,AQP4,ASCT2,BAPTA,BEST1,BRAVIZ,BV2,CA1,CAD,CALHM,CALHM1,CBF,CBX,CD20,CDK"
Chloride and anion channels,bestrophin AND (brain OR glia OR retina),200,198,162,"AAA,AAV1,AAV2,AAVS1,ABCA4,ACD,ACG,ADVIRC,AEPPVM,AEPVM,AIF,AMD,ANO1,AOFVD,AOSLO,APB,APP,AQP4,ARB,ARPE"
Chloride and anion channels,"""anion channel"" AND mechanosensitive",18,18,15,"AKT,ANO1,ANOH,AQP4,BAPTA,CAV1,CFTR,CHF,CIB,DIDS,GBM,GRB2,LRRC8,LRRC8A,NPPB,PIEZO1,PKA,POPC,POPG,RVD"
Chloride and anion channels,"""volume-regulated"" AND channel AND (glia OR astrocyte OR neuromodulation)",120,120,22,"AED,AGQS,AIS,AOA,AQP4,ASCT2,BAEC,BAPTA,BEST1,CA1,CAV1,CBX,CDK,CFTR,CIC,CNQX,COS,CPAE,CTP,CX43"
Natriuretic peptide signaling,"""natriuretic peptide receptor"" AND brain",200,199,199,"ACE,ADM,ALL,AML,ANB,ANF,ANG,ANP,ANP1,APB,APV,ARNI,ARPE,AS1,ASC,ASM,ATF2,ATG,ATRA,BAALC"
Natriuretic peptide signaling,ANP receptor AND (neuron OR neural),200,199,171,"ABP,ACTH,AFN,AHA,AIA,AII,AMPAR,ANB,ANF,ANG,ANP,ANPR,AOGEN,APB,APD50,APV,ARM,AT1,AV3V,AVP"
Natriuretic peptide signaling,"""natriuretic peptide"" AND (brain OR neuron) AND receptor",200,198,185,"AAC,AAS,ABCC1,ABTS,AC16,ACE,ACEI,ACR,ACS,ACSL4,ACTRIIB,ADAMTS,ADD,ADHF,AFL,AG1,AGE,AHF,AIC,AIIMS"
Natriuretic peptide signaling,NPR AND (brain OR neuron) AND receptor,200,199,133,"ACR,ACTH,ADF,ADL,AEA,AFD,AGTR1,AIA,AIB,AIY,AIZ,ALM,AMPAR,AMPK,ANA,ANGII,ANP,AP5,APB,APP"
Natriuretic peptide signaling,"""guanylyl cyclase"" receptor AND brain",200,199,165,"AAR,ACE,ACTH,ADA,ADH5,ADHD,ADM,ADM22,AGC,AM1,AM2,AMPAR,AMPK,ANA,ANF,ANG,ANGII,ANP,ARG1,ARG2"
Natriuretic peptide signaling,"""natriuretic peptide"" AND (glia OR neuromodulation)",200,200,186,"AAC,ABC,ABCC9,AC16,ACC,ACE,ACE1,ACE2,ACEI,ACS,ACTA,ACUTE,ADH,ADHF,ADMA,ADRB,AECOPD,AGO2,AKI,AKT"
Ultrasound neuromodulation mechanisms,ultrasound AND mechanosensitive AND (channel OR neuron),162,162,79,"AKI,AKT,ALIC,ANKRD11,APB,ASIC,ASXL,ASXL1,ATC,BCG,BUN,CA1,CA3,CAAX,CAM,CCA,CCDC22,CEA,CFTR,CGRP"
Ultrasound neuromodulation mechanisms,"""focused ultrasound"" AND ""ion channel""",20,20,10,"AMPAR,BDNF,CEA,CGRP,COX2,CRFI,DOC,KCNK10,KCNK2,KCNK4,NAV1.5,NMDAR,PIEZO1,PIEZO2,SAW,SCN5A,SCOPUS,ST36,TES,TFUS"
